model,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
MobileNetV2,1,0.8227112293243408,0.5648414492607117,0.936380922794342,0.22112414240837097,0.0005000000237487257
MobileNetV2,2,0.9426979422569275,0.21805167198181152,0.958476185798645,0.15396426618099213,0.0005000000237487257
MobileNetV2,3,0.9551776647567749,0.17256468534469604,0.9599999785423279,0.1293250173330307,0.0005000000237487257
MobileNetV2,4,0.9597980380058289,0.14931629598140717,0.9649524092674255,0.1187555193901062,0.0005000000237487257
MobileNetV2,5,0.9664666056632996,0.12899436056613922,0.9676190614700317,0.10215955227613449,0.0005000000237487257
MobileNetV2,6,0.969896137714386,0.12088572978973389,0.9687619209289551,0.09519639611244202,0.0005000000237487257
MobileNetV2,7,0.9689435362815857,0.11456571519374847,0.9672380685806274,0.10182245075702667,0.0005000000237487257
MobileNetV2,8,0.9728017449378967,0.10544486343860626,0.9748571515083313,0.0867796242237091,0.0005000000237487257
MobileNetV2,9,0.9747070670127869,0.0959404855966568,0.973714292049408,0.08239568024873734,0.0005000000237487257
MobileNetV2,10,0.9747070670127869,0.09473949670791626,0.9710476398468018,0.08899705111980438,0.0005000000237487257
MobileNetV2,11,0.9772792458534241,0.0896734967827797,0.9748571515083313,0.07920844852924347,0.0005000000237487257
MobileNetV2,12,0.9768981337547302,0.08753654360771179,0.9740952253341675,0.08131913095712662,0.0005000000237487257
MobileNetV2,13,0.9737544059753418,0.10138792544603348,0.9748571515083313,0.07662913203239441,9.999999747378752e-06
MobileNetV2,14,0.9804229736328125,0.07297764718532562,0.9760000109672546,0.07177194207906723,9.999999747378752e-06
MobileNetV2,15,0.98537677526474,0.05981218442320824,0.9721904993057251,0.07188300043344498,9.999999747378752e-06
MobileNetV2,16,0.9865676164627075,0.053171563893556595,0.9733333587646484,0.08268079906702042,9.999999747378752e-06
MobileNetV2,17,0.9910926818847656,0.03736016899347305,0.980571448802948,0.05735257267951965,2.9999998787388904e-06
MobileNetV2,18,0.9923311471939087,0.032077256590127945,0.9832381010055542,0.04767676815390587,2.9999998787388904e-06
MobileNetV2,19,0.9926169514656067,0.028600124642252922,0.9855238199234009,0.044201768934726715,2.9999998787388904e-06
MobileNetV2,20,0.9932838082313538,0.02591243013739586,0.9836190342903137,0.0431731753051281,2.9999998787388904e-06
