model,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
Custom CNN,1,0.5775459408760071,1.1283708810806274,0.3219047486782074,3.657099723815918,0.0010000000474974513
Custom CNN,2,0.7193007469177246,0.7210681438446045,0.3329523801803589,2.6907706260681152,0.0010000000474974513
Custom CNN,3,0.7794607877731323,0.567391574382782,0.5329523682594299,3.3391478061676025,0.0010000000474974513
Custom CNN,4,0.8082309365272522,0.5072404742240906,0.3790476322174072,4.119358062744141,0.0010000000474974513
Custom CNN,5,0.863580048084259,0.3645018935203552,0.5931428670883179,2.5093302726745605,0.0003000000142492354
Custom CNN,6,0.8883490562438965,0.31173044443130493,0.7535238265991211,1.0503898859024048,0.0003000000142492354
Custom CNN,7,0.8867771625518799,0.31027039885520935,0.7401905059814453,0.8359727263450623,0.0003000000142492354
Custom CNN,8,0.9005430340766907,0.2801189422607422,0.8579047322273254,0.3830242156982422,0.0003000000142492354
Custom CNN,9,0.9082595109939575,0.25464072823524475,0.8563809394836426,0.39816731214523315,0.0003000000142492354
Custom CNN,10,0.9137848615646362,0.24783629179000854,0.8270476460456848,0.5497036576271057,0.0003000000142492354
Custom CNN,11,0.9361246228218079,0.18938560783863068,0.9139047861099243,0.24166980385780334,9.000000136438757e-05
Custom CNN,12,0.9402210116386414,0.1810300350189209,0.819428563117981,0.7222782969474792,9.000000136438757e-05
Custom CNN,13,0.9445079565048218,0.167340949177742,0.9226666688919067,0.22641590237617493,9.000000136438757e-05
Custom CNN,14,0.9505096673965454,0.1547156721353531,0.9226666688919067,0.22685962915420532,9.000000136438757e-05
Custom CNN,15,0.9510336518287659,0.15173326432704926,0.916190505027771,0.2671036124229431,9.000000136438757e-05
Custom CNN,16,0.9586071968078613,0.1340356171131134,0.9417142868041992,0.15978381037712097,2.700000004551839e-05
Custom CNN,17,0.9598456621170044,0.12631778419017792,0.9413333535194397,0.17861422896385193,2.700000004551839e-05
Custom CNN,18,0.9598932862281799,0.12421704083681107,0.9420952200889587,0.157823383808136,2.700000004551839e-05
Custom CNN,19,0.9603220224380493,0.12546956539154053,0.9432380795478821,0.15798930823802948,2.700000004551839e-05
Custom CNN,20,0.9606077671051025,0.1241963729262352,0.9470475912094116,0.15660104155540466,2.700000004551839e-05
