model,accuracy,precision_weighted,recall_weighted,f1_weighted,training_time_seconds,total_parameters,trainable_parameters,last_conv_layer
ResNet50,0.8107747105966162,0.8106951461327531,0.8107747105966162,0.8107021817468613,1653.2231984399996,23632790,15851798,conv5_block3_out
MobileNetV2,0.8081032947462155,0.8084456646385053,0.8081032947462155,0.8082455920305837,679.2586885179999,2286166,1691542,out_relu
Custom CNN,0.777975660433363,0.781144421884095,0.777975660433363,0.7791119281812386,2180.331669737,2069686,2067766,custom_last_conv
